CustomerID,Name,Phone,Address,Gender,Email,DOB
39,Grata Ramsden,418-511-1321,7 Blackbird Road,Female,gramsden12@cmu.edu,1998-07-28
40,Shani Christian,207-342-8065,1946 Browning Park,Female,schristian13@amazon.de,1993-07-21
41,Cyndia Nance,397-907-4122,20 Holmberg Junction,Female,cnance14@pbs.org,1987-09-29
42,Andre O' Finan,844-481-4756,7 Eastwood Street,Male,ao15@salon.com,1992-09-06
43,Hashim Lafoy,144-893-6690,0 Manitowish Park,Male,hlafoy16@shutterfly.com,1983-03-28
44,Dore Trouel,135-750-9327,69001 Delladonna Trail,Male,dtrouel17@ca.gov,1981-07-07
45,Bride Bonnin,729-296-4130,7 Anniversary Point,Female,bbonnin18@google.ru,1991-06-29
46,Darrin Battlestone,833-612-7000,9307 Arrowood Plaza,Male,dbattlestone19@foxnews.com,1981-01-24
47,Noreen Froschauer,128-866-3399,067 6th Circle,Female,nfroschauer1a@state.tx.us,1992-03-04
48,Sergeant Lauks,754-749-2239,7003 Shopko Hill,Male,slauks1b@webmd.com,1981-10-14
49,Aland Sheward,833-240-4668,75 Northview Court,Male,asheward1c@tiny.cc,1989-02-02
50,Correna Jones,425-452-5130,4 Jay Alley,Female,cjones1d@ocn.ne.jp,1993-07-14
51,Florian Girault,829-771-5640,11929 Springview Hill,Male,fgirault0@wisc.edu,1981-06-27
52,Desiri Darragh,472-499-3721,00 Straubel Point,Female,ddarragh1@dailymail.co.uk,1988-09-21
53,Herta Riddlesden,985-593-7515,9588 Waxwing Terrace,Female,hriddlesden2@ebay.com,1998-02-13
54,Jillian Mulhall,887-620-2436,9754 Bellgrove Center,Female,jmulhall3@networkadvertising.org,2000-03-19
55,Mattheus Colebourne,444-422-9369,0 Farwell Crossing,Male,mcolebourne4@mac.com,1987-09-05
56,Evangelia Eymer,597-484-4515,21793 Merry Hill,Female,eeymer5@unc.edu,1997-09-22
57,Ernaline Hallard,866-418-9555,9557 Becker Parkway,Female,ehallard6@example.com,1997-08-30
58,Eloise Conquer,293-230-9983,13 Paget Drive,Female,econquer7@dmoz.org,1999-12-07
59,Ranique Redborn,226-456-6073,56023 Warbler Pass,Female,rredborn8@aol.com,2000-11-30
60,Jimmy Beal,791-716-0462,97697 Anthes Junction,Male,jbeal9@latimes.com,1999-04-07
